Date,Open*,High,Low,Close**,Volume,Market Cap
10/15/2021,$0.11,$0.11,$0.10,$0.11,"$71,797,561","$1,072,625,568"
10/14/2021,$0.11,$0.11,$0.11,$0.11,"$50,009,577","$1,072,030,118"
10/13/2021,$0.11,$0.11,$0.10,$0.11,"$43,937,635","$1,066,084,597"
10/12/2021,$0.11,$0.11,$0.10,$0.11,"$50,889,540","$1,055,369,865"
10/11/2021,$0.11,$0.11,$0.11,$0.11,"$48,656,139","$1,066,083,666"
10/10/2021,$0.11,$0.12,$0.11,$0.11,"$68,684,915","$1,068,858,713"
10/9/2021,$0.11,$0.12,$0.11,$0.11,"$45,984,074","$1,123,714,138"
10/8/2021,$0.11,$0.12,$0.11,$0.11,"$60,091,817","$1,108,614,409"
10/7/2021,$0.11,$0.12,$0.11,$0.11,"$86,438,289","$1,103,556,814"
10/6/2021,$0.11,$0.12,$0.10,$0.11,"$135,161,060","$1,101,158,624"
10/5/2021,$0.11,$0.12,$0.11,$0.11,"$73,886,147","$1,105,552,888"
10/4/2021,$0.11,$0.11,$0.11,$0.11,"$70,803,500","$1,058,462,902"
10/3/2021,$0.11,$0.11,$0.11,$0.11,"$61,175,353","$1,089,236,371"
10/2/2021,$0.11,$0.12,$0.10,$0.11,"$130,988,659","$1,080,520,223"
10/1/2021,$0.10,$0.11,$0.09,$0.11,"$62,498,147","$1,038,392,486"
9/30/2021,$0.09,$0.10,$0.09,$0.10,"$39,902,844","$937,127,899"
9/29/2021,$0.09,$0.10,$0.09,$0.09,"$41,130,035","$897,899,264"
9/28/2021,$0.10,$0.10,$0.09,$0.09,"$42,479,838","$889,452,325"
9/27/2021,$0.10,$0.10,$0.10,$0.10,"$40,567,589","$936,109,107"
9/26/2021,$0.10,$0.11,$0.10,$0.10,"$76,947,116","$969,346,703"
9/25/2021,$0.10,$0.11,$0.09,$0.10,"$95,986,029","$1,007,321,961"
9/24/2021,$0.11,$0.11,$0.09,$0.10,"$48,796,041","$953,894,696"
9/23/2021,$0.11,$0.11,$0.10,$0.11,"$47,087,054","$1,034,365,714"
9/22/2021,$0.09,$0.11,$0.09,$0.11,"$64,599,487","$1,039,395,936"
9/21/2021,$0.09,$0.10,$0.09,$0.09,"$72,990,106","$873,403,928"
9/20/2021,$0.11,$0.11,$0.09,$0.09,"$89,759,591","$912,199,176"
9/19/2021,$0.11,$0.11,$0.11,$0.11,"$35,048,951","$1,085,492,243"
9/18/2021,$0.11,$0.12,$0.11,$0.11,"$36,666,269","$1,100,710,552"
9/17/2021,$0.12,$0.12,$0.11,$0.11,"$46,966,343","$1,089,810,843"
9/16/2021,$0.12,$0.12,$0.11,$0.12,"$52,620,820","$1,134,287,955"
9/15/2021,$0.12,$0.12,$0.12,$0.12,"$53,113,940","$1,164,414,888"
9/14/2021,$0.11,$0.12,$0.11,$0.12,"$57,182,534","$1,137,229,814"
9/13/2021,$0.12,$0.12,$0.11,$0.11,"$72,063,623","$1,103,317,830"
9/12/2021,$0.12,$0.12,$0.11,$0.12,"$65,772,972","$1,158,993,183"
9/11/2021,$0.11,$0.12,$0.11,$0.12,"$75,012,942","$1,134,735,142"
9/10/2021,$0.12,$0.12,$0.11,$0.11,"$104,079,195","$1,105,182,650"
9/9/2021,$0.12,$0.12,$0.12,$0.12,"$83,429,666","$1,155,823,757"
9/8/2021,$0.12,$0.12,$0.11,$0.12,"$130,265,283","$1,153,620,048"
9/7/2021,$0.14,$0.14,$0.10,$0.12,"$188,344,245","$1,127,852,194"
9/6/2021,$0.15,$0.15,$0.14,$0.14,"$126,105,379","$1,388,904,027"
9/5/2021,$0.16,$0.16,$0.15,$0.15,"$142,216,480","$1,459,007,343"
9/4/2021,$0.14,$0.17,$0.14,$0.16,"$264,784,272","$1,489,588,571"
9/3/2021,$0.13,$0.14,$0.13,$0.14,"$101,310,233","$1,318,252,144"
9/2/2021,$0.14,$0.14,$0.13,$0.14,"$87,447,759","$1,291,960,259"
9/1/2021,$0.13,$0.14,$0.13,$0.14,"$95,395,409","$1,294,646,825"
8/31/2021,$0.13,$0.13,$0.13,$0.13,"$73,541,082","$1,227,519,762"
